,index,tournament_type,name,location,date,url,matches_downloaded
563,3,WSA Platinum,Allam British Open (W),"London, England",20 May 2012,http://www.squashinfo.com/events/4846-womens-british-open-2012,True
564,4,WSA Tour 4,Internacional Sporta Open (W),"Guatemala City, Guatemala",20 May 2012,http://www.squashinfo.com/events/4992-womens-internacional-sporta-open-2012,True
565,5,WSA Tour 4,NT Open (W),"Alice Springs, Australia",20 May 2012,http://www.squashinfo.com/events/4993-womens-nt-open-2012,True
566,6,WSA Silver 20,Cannon Kirk Homes Irish Open (W),"Dublin, Ireland",28 Apr 2012,http://www.squashinfo.com/events/4948-womens-irish-open-2012,True
567,7,WSA Tour 12,Buler Challenge Cup (W),Hong Kong,22 Apr 2012,http://www.squashinfo.com/events/4946-womens-buler-challenge-cup-2012,True
568,8,WSA Silver 20,Champion Fiberglass Texas Open (W),"Houston, USA",22 Apr 2012,http://www.squashinfo.com/events/4947-womens-texas-open-2012,True
569,9,WSA Tour 4,Avrupa Konutlari International (W),"Istanbul, Turkey",7 Apr 2012,http://www.squashinfo.com/events/4933-womens-avrupa-konutlari-international-2012,True
570,10,WSA Tour 4,ACT Open (W),"Phillip, Canberra, Australia",1 Apr 2012,http://www.squashinfo.com/events/4922-womens-act-open-2012,True
571,11,WSA World Series Gold,CIMB Nicol David KL Open (W),"Kuala Lumpur, Malaysia",31 Mar 2012,http://www.squashinfo.com/events/4921-womens-kl-open-2012,True
572,12,WSA Tour 10,Granite Open (W),"Toronto, Canada",29 Mar 2012,http://www.squashinfo.com/events/4920-womens-granite-club-open-2012,True
573,13,WSA Tour 4,Swiss Open (W),"Geneva, Switzerland",25 Mar 2012,http://www.squashinfo.com/events/4918-womens-swiss-open-2012,True
574,14,WSA Tour 4,Wells & Young Wimbledon Cup (W),"London, England",25 Mar 2012,http://www.squashinfo.com/events/4919-womens-wimbledon-cup-2012,True
575,15,WSA Silver 20,Atwater Cup (W),"Montreal, Canada",23 Mar 2012,http://www.squashinfo.com/events/4917-womens-atwater-cup-2012,True
576,16,WSA Tour 4,Hashim Khan Championship (W),"Denver, USA",23 Mar 2012,http://www.squashinfo.com/events/4916-womens-hashim-khan-championship-2012,True
577,17,WSA Tour 10,National Capital Open (W),"Chevy Chase, Maryland, USA",17 Mar 2012,http://www.squashinfo.com/events/4915-womens-national-capital-open-2012,True
578,18,WSA Tour 4,SRAM NSC Series No3 (W),"Kuala Lumpur, Malaysia",3 Mar 2012,http://www.squashinfo.com/events/4881-womens-nsc-series-no3-2012,True
