,index,tournament_type,name,location,date,url,matches_downloaded
1806,6,PSA Super Series Silver,Bear Stearns Tournament of Champions (M),"New York, USA",3 Mar 2006,http://www.squashinfo.com/events/2379-mens-tournament-of-champions-2006,True
1807,7,PSA Super Satellite,Bluenose Classic (M),"Halifax, Nova Scotia, Canada",19 Feb 2006,http://www.squashinfo.com/events/2378-mens-bluenose-classic-2006,True
1808,8,PSA 3 Star,CIMB KL Open (M),"Kuala Lumpur, Malaysia",18 Feb 2006,http://www.squashinfo.com/events/2377-mens-kl-open-2006,True
1809,9,PSA 5 Star,ISS Canary Wharf Classic (M),"London, England",17 Feb 2006,http://www.squashinfo.com/events/2376-mens-canary-wharf-classic-2006,True
1810,10,PSA Satellite,Buler Challenge Cup (M),Hong Kong,12 Feb 2006,http://www.squashinfo.com/events/2374-mens-buler-challenge-cup-2006,True
1811,11,PSA 1.5 Star,ADL Optical/Rodenstock Manitoba Open (M),"Winnipeg, Canada",5 Feb 2006,http://www.squashinfo.com/events/2373-mens-manitoba-open-2006,True
1812,12,PSA Satellite,Petr's Prague Open (M),"Prague, Czech Republic",5 Feb 2006,http://www.squashinfo.com/events/2372-mens-prague-open-2006,True
1813,13,PSA 3 Star,Davenport Virginia Pro Championship (M),"Richmond, Virginia, USA",4 Feb 2006,http://www.squashinfo.com/events/2333-mens-virginia-pro-championship-2006,True
1814,14,PSA Satellite,Hector Companion Czech Open (M),"Prague, Czech Republic",29 Jan 2006,http://www.squashinfo.com/events/2371-mens-czech-open-2006,True
1815,15,PSA 4 Star,EBS Dayton Open (M),"Dayton, Ohio, USA",29 Jan 2006,http://www.squashinfo.com/events/2370-mens-dayton-open-2006,True
